product_id,product_name,category,brand,model_number,description,price_usd,stock_quantity,rating,voltage_v,power_kw,weight_kg,material,country_of_origin,warranty_months,source_document,ai_confidence_score,validation_status
PROD-00001,Control Panel Model 1000,Control Panel,Kirloskar,KIR-507-0000,Industrial control panel designed for manufacturing applications.,21608.57,477,4.1,415,145.17,229.41,Stainless Steel,China,18,catalog_01.pdf,0.81,Verified
PROD-00002,Generator Model 1001,Generator,Schneider Electric,SCH-604-0001,Industrial generator designed for manufacturing applications.,13414.25,329,3.9,480,41.05,747.24,Alloy Steel,USA,6,catalog_02.pdf,0.97,Needs Review
PROD-00003,Conveyor System Model 1002,Conveyor System,Schneider Electric,SCH-393-0002,Industrial conveyor system designed for manufacturing applications.,19788.45,73,3.8,400,168.71,28.63,Alloy Steel,Switzerland,18,catalog_03.pdf,0.71,Verified
PROD-00004,Hydraulic Valve Model 1003,Hydraulic Valve,Schneider Electric,SCH-895-0003,Industrial hydraulic valve designed for manufacturing applications.,7595.47,152,3.9,380,33.8,1514.2,Aluminum,Italy,12,catalog_04.pdf,0.95,Verified
PROD-00005,Control Panel Model 1004,Control Panel,ABB,ABB-376-0004,Industrial control panel designed for manufacturing applications.,13648.9,452,4.1,400,201.56,925.27,Carbon Steel,India,6,catalog_05.pdf,0.77,Verified
PROD-00006,Welding Machine Model 1005,Welding Machine,Schneider Electric,SCH-537-0005,Industrial welding machine designed for manufacturing applications.,8794.44,20,3.0,440,247.44,252.21,Stainless Steel,Switzerland,12,catalog_06.pdf,0.95,Needs Review
PROD-00007,Air Compressor Model 1006,Air Compressor,Siemens,SIE-206-0006,Industrial air compressor designed for manufacturing applications.,10501.47,311,3.5,110,94.66,428.09,Cast Iron,China,12,catalog_07.pdf,0.74,Verified
PROD-00008,Control Panel Model 1007,Control Panel,Kirloskar,KIR-757-0007,Industrial control panel designed for manufacturing applications.,18377.24,109,4.0,415,111.47,807.46,Alloy Steel,India,18,catalog_08.pdf,0.87,Needs Review
PROD-00009,Conveyor System Model 1008,Conveyor System,Siemens,SIE-519-0008,Industrial conveyor system designed for manufacturing applications.,22071.15,169,4.4,230,12.09,341.59,Aluminum,Italy,18,catalog_09.pdf,0.96,Verified
PROD-00010,Hydraulic Valve Model 1009,Hydraulic Valve,Atlas Copco,ATL-710-0009,Industrial hydraulic valve designed for manufacturing applications.,3257.01,492,3.3,415,3.93,484.94,Carbon Steel,USA,12,catalog_10.pdf,0.84,Needs Review
PROD-00011,Generator Model 1010,Generator,Kirloskar,KIR-528-0010,Industrial generator designed for manufacturing applications.,15957.32,205,4.1,415,230.39,962.83,Carbon Steel,India,18,catalog_11.pdf,0.92,Needs Review
PROD-00012,Conveyor System Model 1011,Conveyor System,Siemens,SIE-474-0011,Industrial conveyor system designed for manufacturing applications.,14658.06,201,4.4,415,32.59,1499.03,Stainless Steel,Japan,18,catalog_12.pdf,0.93,Verified
PROD-00013,Conveyor System Model 1012,Conveyor System,Kirloskar,KIR-172-0012,Industrial conveyor system designed for manufacturing applications.,3180.77,430,3.9,380,111.72,724.51,Alloy Steel,China,18,catalog_13.pdf,0.91,Verified
PROD-00014,Air Compressor Model 1013,Air Compressor,Atlas Copco,ATL-733-0013,Industrial air compressor designed for manufacturing applications.,5494.38,189,3.1,220,203.93,1291.12,Stainless Steel,Italy,24,catalog_14.pdf,0.97,Verified
PROD-00015,Gearbox Model 1014,Gearbox,Honeywell,HON-129-0014,Industrial gearbox designed for manufacturing applications.,7947.31,326,3.9,440,222.39,1578.28,Cast Iron,USA,12,catalog_15.pdf,0.83,Verified
PROD-00016,Hydraulic Valve Model 1015,Hydraulic Valve,ABB,ABB-287-0015,Industrial hydraulic valve designed for manufacturing applications.,4381.54,269,3.6,110,130.09,390.91,Cast Iron,Japan,36,catalog_16.pdf,0.75,Verified
PROD-00017,Electric Motor Model 1016,Electric Motor,ABB,ABB-463-0016,Industrial electric motor designed for manufacturing applications.,6282.3,367,4.9,220,141.48,1453.33,Cast Iron,Italy,12,catalog_17.pdf,0.71,Needs Review
