product_id,product_name,category,brand,model_number,description,price_usd,stock_quantity,rating,voltage_v,power_kw,weight_kg,material,country_of_origin,warranty_months,source_document,ai_confidence_score,validation_status
PROD-00001,Pressure Sensor,Sensors,ABB,ABB-859-X,Electronic pressure sensor for industrial monitoring and automation.,4594.68,35,4.5,415.0,111.16,463.65,Polycarbonate,India,6.0,Manufacturer Website,0.75,Verified
PROD-00002,Industrial Robot Arm,Robotics,Bosch Rexroth,BOS-833-PRO,Programmable robotic arm for industrial assembly and handling.,4144.41,150,3.7,440.0,1.22,684.99,Polycarbonate,USA,18.0,Manufacturer Website,0.76,Verified
PROD-00003,Ball Bearing,Bearings,Honeywell,HON-199-X,Precision bearing for rotating industrial machinery.,15691.61,154,3.7,110.0,109.53,455.89,Polycarbonate,India,36.0,Product Catalog,0.8,Verified
PROD-00004,Industrial Gearbox,Power Transmission,ABB,ABB-777-B,Industrial gearbox for speed reduction and high torque transmission.,14321.05,20,4.7,440.0,15.37,236.42,Nylon,Germany,18.0,Manufacturer Website,0.82,Verified
PROD-00005,Flow Control Valve,Valves,Danfoss,DAN-275-B,Precision valve for regulating industrial fluid flow.,3094.06,97,3.7,415.0,103.3,186.83,Nylon,Sweden,6.0,Technical PDF,0.78,Verified
PROD-00006,Welding Machine,Fabrication,Grundfos,GRU-167-B,Industrial welding machine for metal fabrication.,16900.4,145,4.8,230.0,,424.45,Alloy Steel,Germany,18.0,Supplier Catalog,0.76,Verified
PROD-00007,Photoelectric Sensor,Sensors,Honeywell,HON-470-B,Optical sensor for industrial object detection.,18450.75,35,4.1,110.0,113.43,731.97,Aluminium,China,12.0,Manufacturer Website,0.93,Needs Review
PROD-00008,Industrial Transformer,Electrical,Honeywell,HON-710-PRO,Electrical transformer for industrial voltage conversion.,9828.64,248,4.2,110.0,102.12,97.55,Brass,Sweden,18.0,Product Catalog,0.75,Needs Review
PROD-00009,Level Sensor,Sensors,ABB,ABB-839-X,Industrial sensor for liquid-level measurement.,17982.32,195,3.5,110.0,130.61,253.82,Cast Iron,Germany,18.0,Technical PDF,0.93,Verified
PROD-00010,Industrial Heater,Heating,ABB,ABB-214-X,Electric industrial heater for process temperature control.,16266.66,212,4.7,220.0,8.92,746.33,Carbon Steel,India,24.0,Product Catalog,0.94,Verified
PROD-00011,Proximity Sensor,Sensors,Rockwell Automation,ROC-269-X,Non-contact sensor for detecting objects in automation systems.,9802.11,155,4.0,220.0,139.35,642.02,Cast Iron,China,18.0,Supplier Catalog,0.83,Verified
PROD-00012,Stainless Steel Tank,Storage,Emerson,EME-223-B,Corrosion-resistant storage tank for industrial liquids.,4222.8,86,3.2,400.0,34.71,187.34,Carbon Steel,China,6.0,Technical PDF,0.78,Verified
PROD-00013,Industrial Gearbox,Power Transmission,Rockwell Automation,ROC-343-X,Industrial gearbox for speed reduction and high torque transmission.,12404.23,54,4.2,415.0,140.34,485.47,Alloy Steel,Germany,24.0,Manufacturer Website,0.94,Verified
PROD-00014,Roller Bearing,Bearings,Danfoss,DAN-541-X,Heavy-load roller bearing for industrial rotating equipment.,7885.2,119,4.8,110.0,101.09,836.54,Carbon Steel,India,24.0,Product Catalog,0.92,Verified
PROD-00015,Solenoid Valve,Valves,Bosch Rexroth,BOS-649-PRO,Electrically operated valve for automated fluid control.,2666.46,46,3.7,220.0,131.2,64.26,Carbon Steel,India,36.0,Product Catalog,0.95,Verified
PROD-00016,Control Valve,Valves,Honeywell,HON-597-PRO,Modulating valve for automated process flow control.,4021.16,102,4.8,220.0,57.0,837.52,Brass,Sweden,24.0,Product Catalog,0.8,Needs Review
PROD-00017,Solenoid Valve,Valves,Grundfos,GRU-322-A,Electrically operated valve for automated fluid control.,10750.61,138,3.3,230.0,8.81,496.63,Aluminium,India,36.0,Manufacturer Website,0.74,Verified
PROD-00018,Flow Control Valve,Valves,Siemens,SIE-791-B,Precision valve for regulating industrial fluid flow.,7520.53,241,4.8,220.0,86.94,33.97,Carbon Steel,Japan,36.0,Technical PDF,0.87,Verified
PROD-00019,Hydraulic Pump,Pumps,Danfoss,DAN-833-X,High-pressure hydraulic pump for industrial power systems.,4480.4,101,3.4,415.0,45.17,268.89,Carbon Steel,India,24.0,Manufacturer Website,0.89,Verified
PROD-00020,Mixing Tank,Process Equipment,Bosch Rexroth,BOS-618-X,Industrial tank designed for controlled mixing of process materials.,2524.19,89,4.8,220.0,55.59,134.25,Brass,Italy,36.0,Manufacturer Website,0.72,Verified
PROD-00021,Temperature Sensor,Sensors,Grundfos,GRU-218-A,Industrial temperature sensor for process monitoring.,13756.6,39,3.7,400.0,31.79,291.58,Brass,Italy,24.0,Manufacturer Website,0.79,Verified
PROD-00022,Pneumatic Actuator,Pneumatics,Festo,FES-383-A,Pneumatic actuator for automated industrial valve operation.,150.29,197,3.4,230.0,24.45,375.67,,Italy,6.0,Manufacturer Website,0.75,Verified
PROD-00023,Circuit Breaker,Electrical,Eaton,EAT-665-B,Protective electrical breaker for industrial distribution systems.,7999.52,10,3.8,440.0,145.84,34.1,Nylon,Germany,12.0,Supplier Catalog,0.9,Verified
